客戶編號,客戶名稱,地址,電話號碼
A000,政旭汽車材料行,臺南市新營區民治路78-15號,06-6321695
A001,新貿汽車材料行,臺南市東區自由路一段157號,06-3350158
A002,三贏交通器材有限公司,臺南市永康區中正二街385號,06-2432679
A003,匯聖實業有限公司,臺南市永康區民族路1巷18弄138號,06-2050056
A004,明新汽車材料行,嘉義市西區永康一街12號,05-2860237/05-2830583
A005,富豐汽車材料行,高雄市新興區八德一路359號,07-2352366
A063,展新汽車材料行,臺南市新營區開元路86-4號,06-6330903
A064,歐來行,高雄市三民區建國二路73號,07-2375678
A065,車台精品工業股份有限公司,臺中市南區有恆街72號,04-22268999
A067,宏邦交通器材有限公司,高雄市三民區河北一路165號,07-2368668
A068,源豐本汽車工業有限公司,臺中市豐原區南陽路59巷25-6號,04-25299561
A069,雷迪有限公司,臺北市文山區興隆路4段165巷40弄7號,07-2375500   02-29384004
A070,嘉洋汽車材料有限公司,高雄市新興區南華橫2路16號,07-2358068
A071,菖煥汽車材料有限公司,臺北市中山區長安東路二段26-1號,02-25363911.0225375711
A072,富昱汽車材料行,高雄市新興區八德一路176號,07-2360199
A073,旭貿企業有限公司,高雄市左營區文自路846號1樓,07-3502291
A074,銘新興業有限公司,高雄市新興區復興一路141號,07-2352898.
A076,安慶交通器材有限公司,高雄市新興區南華橫2路80號,07-2359931
A077,穩弘汽車材料有限公司,高雄市八德路1路270號,07-2368233
A078,御勝汽車零件,臺南市新市區3舍20-2號,
A079,上岳貿易有限公司,臺北市中山區新生北路3段81號,02-25850947 02-25996292
A080,大吉利交通器材行,高雄市新興區復興一路121-5號,07-2368682
A081,順程國際有限公司,高雄市新興區八德一路240號,07-2366198  07-2368098
A082,福晟汽車材料有限公司,臺北市大同區重慶北路3段137巷31號,02-25537032
A083,優視交通器材有線公司,高雄市笭雅區建國一路187號,07-2257039
A084,力誌貿易有限公司,新北市大同區保安街49巷26號1F,02-25528601
A085,廣飛企業有限公司,臺中市五權南路781號,07-2366156  04-2261709
A086,尚謚汽車材料有限公司,高雄市新興區仁愛一街311號,07-2381618  07-2381607
A087,冠鑫汽車材料有限公司,高雄市新興區8德1路202巷18號,07-2360025
A088,巨力汽車材料公司,高雄市新興區8德1路333號,07-2359966
A091,新羅貿易有限公司,臺北市大同區重慶北路3段9巷3號,02-25965757 02-25961372
A092,興宏展汽車材料行,高雄市鳳山區5甲2路臨一巷51-3號,07-7925009
A093,勝發水箱,臺北市大同區蘭州街114號,02-25994350/25994366
A094,阡禾實業有限公司,臺北市士林區通河街54號,02-28856515-6 0800-898-100 0800-888-900
B001,張國瑞,彰化縣二林鎮趙甲里鎮平巷65號,921713582
B002,昱軒有限公司,臺中市五權南路576號,04-22618658
B010,亮佳汽車服務廠,臺中市北屯區樹孝路738號,04-24373881-3
B011,馳豐全汽車,臺中市北區育德路111號,04-22070108
B012,勝超汽車修配廠,臺中市北區德化街118號,04-22360878
B024,銘祥汽車材料行,臺中市南區信義南街182號,04-22817383
B045,玖豐軸承行,臺中市南區公理街70號一樓,04-2253582
B066,散客,無,
C014,樺泰汽車材料行,彰化縣社頭鄉員集路2段618號,04-8722515
C024,匯豐汽車股份有限公司,嘉義縣民雄鄉民雄工業區中正路22號,05-2203945
C025,尚勇交通器材公司,彰化縣溪湖鎮興學街73號4樓之2,04-8821570
D001,冠好實業有限公司,彰化市中華西路583巷3號,047-612554-5
D002,聯勝汽車材料行,彰化市平和里向陽街83號,04-7635457-8
D004,合發汽車材料行,彰化市中華西路273號,04-7627886
D005,達鑫修配廠,彰化市彰鹿路63號,04-7615617
D006,建發汽車材料行,彰化市中山路3段272號,04-7236107
D007,義興汽車材料行,彰化市中山路3段190巷1號,04-7241777
D010,上允汽車材料有限公司,彰化市線東路1段156號,04-7617474
D011,吉本汽車材料行,彰化市中華西路397號,04-7627826
D012,葉發汽車企業有限公司,彰化市中正路1段293.295號,04-7628656.7629656
D013,永全汽車材料行,彰化市彰南路2段267號,04-7370188.7370189
D014,登元汽車材料行,彰化市中央路198號,04-7621783
D015,建成汽車材料行,彰化市平和里平安街25號,04-7622303
D016,上群交通器材行,彰化市中山路60巷5號,04-7324161
D017,尚揚行,彰化市中央路270巷51號,04-7614587
E002,吉翔輪胎有限公司,南投縣竹山鎮集山路3段400號,049-657280
E003,億峰企業社,南投縣草屯鎮中山路粉寮巷14號,049-310199
E004,順大汽車材料行,南投縣埔里鎮中正三路208號,049-980268.984511
E006,隆興汽車材料行,南投縣埔里鎮中山路2段19號,049-995710
E007,明利汽車材料行,南投縣草屯鎮中正路1120號,049-322672
E008,昱興汽車材料行,南投縣草屯鎮中正路1085號,049-323822
E009,凱順汽車材料行,南投縣埔里鎮忠孝路260號,049-901870
E010,隆昌汽車材料行,南投縣草屯鎮仁愛街39號,049-338988
E011,富傑汽車材料行,南投縣水里鄉中山路1段65號,049-770229
E012,大興汽車材料行,南投縣埔里鎮仁愛路519號,049-982022.992667
E013,冠宏交通器材行,南投縣竹山鎮集山路3段222號,049-645096.641895
E014,建信交通器材行,南投縣水里鄉民權路398號,049-770241
E015,建華交通器材行,南投縣西門里中正四路4號,049-982411
E016,日美交通器材有限公司,南投縣草屯鎮成功路1段222號,049-322598
E017,上豐汽車有限公司,南投縣草屯鎮博愛路627號,049-355356.311236
E018,銓丰汽車修配廠,南投縣草屯鎮南埔里中正路254號-148,049-552978
E019,FMC成泰汽車定位,南投縣名間鄉南雲路5-1號,049-735660
F001,上翊輪胎有限公司,南投市嘉和里彰南路一段734號,049-237799
F002,力群汽車材料行,南投市南崗二路609號,049-257213.257215
F003,瑞昌汽車材料行,南投市南崗一路277號,049-228568
F005,伍聯汽車修配廠,南投市中華路176號,049-253118
F006,詮順汽車精品,南投市南崗三路3號,492253300
G010,力榮電瓶商行,臺南市新營區民族路150巷90號,0989-578311
G018,開源汽車材料行,高雄市八德一路285號,07-2364086
H001,德嘉汽車修護廠,嘉義縣朴子市德家里吳竹子腳37-5號,05-3695699
H002,嘉好汽車,嘉義縣朴子市鴨母寮473-475號,927818662
